,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
0,1,New York City,New York,"8,398,748",40.6635,-73.9387,"New York City, New York",5,Pizza Place,Bakery,Italian Restaurant,Café,Donut Shop,Caribbean Restaurant,Sandwich Place,Japanese Restaurant,Seafood Restaurant,New American Restaurant,Breakfast Spot,Moroccan Restaurant,Greek Restaurant,American Restaurant,Latin American Restaurant,Thai Restaurant,Bagel Shop,Asian Restaurant,Food Court,Ethiopian Restaurant,Israeli Restaurant,Fried Chicken Joint,Salad Place,Deli / Bodega,Noodle House
1,2,Los Angeles,California,"3,990,456",34.0194,-118.4108,"Los Angeles, California",2,Sushi Restaurant,American Restaurant,Italian Restaurant,Café,Mexican Restaurant,New American Restaurant,Pizza Place,Japanese Restaurant,Steakhouse,Korean Restaurant,Sandwich Place,French Restaurant,Seafood Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Poke Place,Salad Place,Food Truck,Australian Restaurant,Thai Restaurant,Fast Food Restaurant,Chinese Restaurant,Caribbean Restaurant,Cajun / Creole Restaurant,Burger Joint
2,3,Chicago,Illinois,"2,705,994",41.8376,-87.6818,"Chicago, Illinois",2,New American Restaurant,Italian Restaurant,Pizza Place,Sandwich Place,Donut Shop,American Restaurant,Japanese Restaurant,Steakhouse,Seafood Restaurant,Deli / Bodega,Mexican Restaurant,Burger Joint,Mediterranean Restaurant,Diner,Taco Place,Café,Gastropub,Chinese Restaurant,Breakfast Spot,Filipino Restaurant,Cuban Restaurant,Peruvian Restaurant,Molecular Gastronomy Restaurant,Snack Place,Food Court
3,4,Houston,Texas,"2,325,502",29.7866,-95.3909,"Houston, Texas",2,Mexican Restaurant,Burger Joint,Pizza Place,Café,American Restaurant,New American Restaurant,Taco Place,Italian Restaurant,Steakhouse,Vietnamese Restaurant,Food Truck,Seafood Restaurant,Sushi Restaurant,Fast Food Restaurant,BBQ Joint,French Restaurant,Japanese Restaurant,Deli / Bodega,Sandwich Place,Mediterranean Restaurant,Greek Restaurant,Chinese Restaurant,Salad Place,Noodle House,Cajun / Creole Restaurant
4,5,Phoenix,Arizona,"1,660,272",33.5722,-112.0901,"Phoenix, Arizona",0,Pizza Place,Burger Joint,American Restaurant,Mexican Restaurant,Italian Restaurant,Mediterranean Restaurant,Café,Breakfast Spot,Sushi Restaurant,Sandwich Place,New American Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Southern / Soul Food Restaurant,Gluten-free Restaurant,Seafood Restaurant,Asian Restaurant,Chinese Restaurant,Taco Place,Steakhouse,Thai Restaurant,BBQ Joint,Fried Chicken Joint,Fast Food Restaurant,Gastropub
5,6,Philadelphia,Pennsylvania,"1,584,138",40.0094,-75.1333,"Philadelphia, Pennsylvania",0,Pizza Place,Italian Restaurant,American Restaurant,Café,Breakfast Spot,New American Restaurant,Sandwich Place,Deli / Bodega,Indian Restaurant,Steakhouse,Donut Shop,Sushi Restaurant,Israeli Restaurant,Chinese Restaurant,Seafood Restaurant,Tapas Restaurant,Bakery,Asian Restaurant,French Restaurant,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Gastropub,Churrascaria,Ramen Restaurant,Greek Restaurant
6,7,San Antonio,Texas,"1,532,233",29.4724,-98.5251,"San Antonio, Texas",1,Mexican Restaurant,Burger Joint,Pizza Place,Bakery,American Restaurant,Sushi Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Sandwich Place,Taco Place,Italian Restaurant,Seafood Restaurant,New American Restaurant,Fast Food Restaurant,Chinese Restaurant,Thai Restaurant,Steakhouse,BBQ Joint,Deli / Bodega,Snack Place,Korean Restaurant,Cajun / Creole Restaurant,Japanese Restaurant,Food Court
7,8,San Diego,California,"1,425,976",32.8153,-117.135,"San Diego, California",3,Seafood Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,New American Restaurant,Burger Joint,Italian Restaurant,Thai Restaurant,Deli / Bodega,Breakfast Spot,Vegetarian / Vegan Restaurant,Sushi Restaurant,BBQ Joint,Taco Place,Mediterranean Restaurant,Greek Restaurant,Japanese Restaurant,Fast Food Restaurant,Salad Place,Chinese Restaurant,Cajun / Creole Restaurant,Middle Eastern Restaurant,Noodle House,Donut Shop
8,9,Dallas,Texas,"1,345,047",32.7933,-96.7665,"Dallas, Texas",2,New American Restaurant,American Restaurant,Steakhouse,Pizza Place,Burger Joint,Seafood Restaurant,Mexican Restaurant,Fast Food Restaurant,Taco Place,Italian Restaurant,BBQ Joint,Japanese Restaurant,Thai Restaurant,Tex-Mex Restaurant,Greek Restaurant,Fried Chicken Joint,Sushi Restaurant,Salad Place,Café,Vegetarian / Vegan Restaurant,Diner,Latin American Restaurant,Noodle House,Sandwich Place,Halal Restaurant
9,10,San Jose,California,"1,030,119",37.2967,-121.8189,"San Jose, California",5,Sandwich Place,Pizza Place,Mexican Restaurant,Korean Restaurant,Breakfast Spot,Vietnamese Restaurant,Burger Joint,Vegetarian / Vegan Restaurant,American Restaurant,Bakery,Seafood Restaurant,Japanese Restaurant,Café,Greek Restaurant,Donut Shop,Deli / Bodega,Chinese Restaurant,New American Restaurant,Italian Restaurant,Cajun / Creole Restaurant,Steakhouse,BBQ Joint,Falafel Restaurant,Fast Food Restaurant,Peruvian Restaurant
10,11,Austin,Texas,"964,254",30.3039,-97.7544,"Austin, Texas",5,Pizza Place,Taco Place,Sandwich Place,Burger Joint,Food Truck,American Restaurant,BBQ Joint,Mexican Restaurant,Bakery,Breakfast Spot,Seafood Restaurant,Café,Japanese Restaurant,Vegetarian / Vegan Restaurant,Italian Restaurant,Korean Restaurant,Diner,Ramen Restaurant,Vietnamese Restaurant,French Restaurant,Steakhouse,Gastropub,Gluten-free Restaurant,Deli / Bodega,Falafel Restaurant
11,12,Jacksonville,Florida,"903,889",30.3369,-81.6616,"Jacksonville, Florida",6,Sandwich Place,American Restaurant,Pizza Place,Breakfast Spot,Sushi Restaurant,BBQ Joint,Café,Mexican Restaurant,Fast Food Restaurant,Deli / Bodega,Thai Restaurant,Bakery,Burrito Place,Seafood Restaurant,Food Truck,Southern / Soul Food Restaurant,Steakhouse,French Restaurant,Diner,Donut Shop,Italian Restaurant,Japanese Restaurant,Burger Joint,Fried Chicken Joint,New American Restaurant
12,13,Fort Worth,Texas,"895,008",32.7815,-97.3467,"Fort Worth, Texas",1,Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Sandwich Place,Steakhouse,Sushi Restaurant,Taco Place,Seafood Restaurant,Donut Shop,Fast Food Restaurant,Diner,Breakfast Spot,Fried Chicken Joint,New American Restaurant,Bakery,Deli / Bodega,Mediterranean Restaurant,Italian Restaurant,Indian Restaurant,Cajun / Creole Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Latin American Restaurant
13,14,Columbus,Ohio,"892,533",39.9852,-82.9848,"Columbus, Ohio",0,Pizza Place,American Restaurant,Café,Gastropub,Taco Place,Mexican Restaurant,Italian Restaurant,Deli / Bodega,Diner,New American Restaurant,Fried Chicken Joint,Steakhouse,Mediterranean Restaurant,Bakery,Vegetarian / Vegan Restaurant,Latin American Restaurant,Sandwich Place,BBQ Joint,Breakfast Spot,German Restaurant,Japanese Restaurant,Hot Dog Joint,Donut Shop,Seafood Restaurant,Caribbean Restaurant
