,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
0,"Abilene, Texas",American Restaurant,Mexican Restaurant,Fast Food Restaurant,Deli / Bodega,Pizza Place,Burger Joint,Steakhouse,Sandwich Place,Tex-Mex Restaurant,Chinese Restaurant,BBQ Joint,Wings Joint,Fried Chicken Joint,Seafood Restaurant,Food,Donut Shop,Truck Stop,Japanese Restaurant,Italian Restaurant,Thai Restaurant,Grilled Meat Restaurant,Dumpling Restaurant,Eastern European Restaurant,Hawaiian Restaurant,Empanada Restaurant
1,"Akron, Ohio",American Restaurant,Mexican Restaurant,Burger Joint,Italian Restaurant,Pizza Place,Middle Eastern Restaurant,Sandwich Place,Sushi Restaurant,Wings Joint,Chinese Restaurant,Seafood Restaurant,Fast Food Restaurant,Bakery,Mediterranean Restaurant,Gastropub,Donut Shop,Diner,Japanese Restaurant,Café,Deli / Bodega,Steakhouse,Breakfast Spot,Bagel Shop,New American Restaurant,Cajun / Creole Restaurant
2,"Albuquerque, New Mexico",Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Burger Joint,Café,Steakhouse,Sushi Restaurant,Breakfast Spot,BBQ Joint,Vietnamese Restaurant,Italian Restaurant,Bagel Shop,Thai Restaurant,Asian Restaurant,Donut Shop,Middle Eastern Restaurant,Fast Food Restaurant,Salad Place,Japanese Restaurant,Diner,Caribbean Restaurant,New American Restaurant,Seafood Restaurant,Peruvian Restaurant
3,"Alexandria, Virginia",American Restaurant,Pizza Place,Italian Restaurant,Taco Place,Mediterranean Restaurant,Thai Restaurant,Seafood Restaurant,New American Restaurant,French Restaurant,Indian Restaurant,Food Truck,Sandwich Place,BBQ Joint,Donut Shop,Burger Joint,Asian Restaurant,Spanish Restaurant,Sushi Restaurant,Chinese Restaurant,Salad Place,Ramen Restaurant,Café,Bakery,Middle Eastern Restaurant,Deli / Bodega
4,"Allen, Texas",American Restaurant,BBQ Joint,Pizza Place,Italian Restaurant,Steakhouse,Sushi Restaurant,Mexican Restaurant,Taco Place,Burger Joint,Seafood Restaurant,Fast Food Restaurant,Southern / Soul Food Restaurant,Café,New American Restaurant,Breakfast Spot,Greek Restaurant,Japanese Restaurant,Bakery,Thai Restaurant,Bistro,Food Court,Chinese Restaurant,Latin American Restaurant,Donut Shop,Diner
5,"Allentown, Pennsylvania",American Restaurant,Italian Restaurant,Pizza Place,Mexican Restaurant,Bakery,Burger Joint,Diner,Gastropub,Sandwich Place,Café,Mediterranean Restaurant,Fast Food Restaurant,Seafood Restaurant,Japanese Restaurant,New American Restaurant,Sushi Restaurant,Asian Restaurant,Breakfast Spot,Tapas Restaurant,Food Stand,Hot Dog Joint,Salad Place,Middle Eastern Restaurant,Cajun / Creole Restaurant,Gluten-free Restaurant
6,"Amarillo, Texas",Mexican Restaurant,Burger Joint,American Restaurant,Fast Food Restaurant,Steakhouse,Italian Restaurant,Deli / Bodega,Asian Restaurant,Pizza Place,BBQ Joint,Sandwich Place,Bakery,Seafood Restaurant,New American Restaurant,Diner,Taco Place,Tex-Mex Restaurant,Thai Restaurant,Sushi Restaurant,Bagel Shop,Japanese Restaurant,Breakfast Spot,Indian Restaurant,Burrito Place,Fish & Chips Shop
7,"Anaheim, California",Bakery,Pizza Place,Mexican Restaurant,American Restaurant,Steakhouse,Sandwich Place,Burger Joint,Café,Seafood Restaurant,Korean Restaurant,Italian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Donut Shop,Deli / Bodega,BBQ Joint,Breakfast Spot,Japanese Restaurant,Salad Place,Food Court,Chinese Restaurant,Latin American Restaurant,Cuban Restaurant,Bagel Shop
8,"Anchorage, Alaska",Mexican Restaurant,American Restaurant,Seafood Restaurant,Diner,Steakhouse,Bakery,Burger Joint,Pizza Place,Asian Restaurant,Breakfast Spot,Vietnamese Restaurant,Sushi Restaurant,Thai Restaurant,Italian Restaurant,Deli / Bodega,Sandwich Place,Chinese Restaurant,Fast Food Restaurant,Café,Bagel Shop,Mediterranean Restaurant,Shabu-Shabu Restaurant,Cajun / Creole Restaurant,Vegetarian / Vegan Restaurant,New American Restaurant
9,"Ann Arbor, Michigan",Pizza Place,American Restaurant,Mexican Restaurant,Sandwich Place,Breakfast Spot,Café,Burger Joint,Italian Restaurant,Sushi Restaurant,Noodle House,Seafood Restaurant,Middle Eastern Restaurant,Indian Restaurant,Bakery,Chinese Restaurant,Steakhouse,Deli / Bodega,French Restaurant,BBQ Joint,Gastropub,Vegetarian / Vegan Restaurant,Burrito Place,Fast Food Restaurant,Diner,Donut Shop
